;cadaster;hour;predicted_throttle;actual_throttle
0;79515:011:0052;13;6.78;8.257
0;79515:011:0052;14;4.449;3.825
0;79515:011:0052;15;5.229;6.045
0;79515:011:0052;16;3.881;3.956
0;79515:011:0052;17;5.274;5.894
0;79515:011:0052;18;6.028;6.805
0;79515:011:0052;19;3.88;3.095
0;79515:011:0052;20;5.752;6.791
0;79515:011:0052;21;5.283;6.346
0;79515:011:0052;22;4.119;3.946
0;79515:011:0052;23;3.668;4.08
0;79508:020:0022;0;0;0
0;79508:020:0022;1;0;0
0;79508:020:0022;2;0;0
0;79508:020:0022;3;0;0
0;79508:020:0022;4;0;0
0;79508:020:0022;5;0;0
0;79508:020:0022;6;0;0
0;79508:020:0022;7;0;0
0;79508:020:0022;8;0;0
0;79508:020:0022;9;0;0
0;79508:020:0022;10;0;0
0;79508:020:0022;11;0;0
0;79508:020:0022;12;0;0
0;79508:020:0022;13;0;0
0;79508:020:0022;14;0;0
0;79508:020:0022;15;0;0
0;79508:020:0022;16;0;0
0;79508:020:0022;17;0;0
0;79508:020:0022;18;0;0
0;79508:020:0022;19;0;0
0;79508:020:0022;20;0;0
0;79508:020:0022;21;0;0
0;79508:020:0022;22;0;0
0;79508:020:0022;23;0;0
0;79508:008:0004;0;3.525;0
0;79508:008:0004;1;2.584;4.855
0;79508:008:0004;2;0;0
0;79508:008:0004;3;0;0
0;79508:008:0004;4;0;0
0;79508:008:0004;5;0;0
0;79508:008:0004;6;0;0
0;79508:008:0004;7;0;0
0;79508:008:0004;8;0;0
0;79508:008:0004;9;1.783;1.613
0;79508:008:0004;10;1.576;0
0;79508:008:0004;11;0;0
0;79508:008:0004;12;0.3;0
0;79508:008:0004;13;0.619;0
0;79508:008:0004;14;0;0
0;79508:008:0004;15;0;0
0;79508:008:0004;16;0;0
0;79508:008:0004;17;0;0
0;79508:008:0004;18;0;0.779
0;79508:008:0004;19;2.263;4.148
0;79508:008:0004;20;1.305;0
0;79508:008:0004;21;1.175;0
0;79508:008:0004;22;0;2.521
0;79508:008:0004;23;1.083;0
0;79501:034:0057;0;0;0
0;79501:034:0057;1;0;0
0;79501:034:0057;2;0;0
0;79501:034:0057;3;0;0
0;79501:034:0057;4;0;0
0;79501:034:0057;5;0;0
0;79501:034:0057;6;0;0
0;79501:034:0057;7;0;0
0;79501:034:0057;8;0;0
0;79501:034:0057;9;0;4.716
0;79501:034:0057;10;0;0.668
0;79501:034:0057;11;0;0
0;79501:034:0057;12;0;0
0;79501:034:0057;13;0;0
0;79501:034:0057;14;0;0
0;79501:034:0057;15;0;0
0;79501:034:0057;16;0;0
0;79501:034:0057;17;0;0
0;79501:034:0057;18;0;0
0;79501:034:0057;19;0;0
0;79501:034:0057;20;0;0
0;79501:034:0057;21;0;0
0;79501:034:0057;22;0;0
0;79501:034:0057;23;0;0
0;79512:047:0004;0;0;1.027
0;79512:047:0004;1;0;1.335
0;79512:047:0004;2;0;1.442
0;79512:047:0004;3;0;0
0;79512:047:0004;4;0;0
0;79512:047:0004;5;0;0.002
0;79512:047:0004;6;0;0
0;79512:047:0004;7;0;0
0;79512:047:0004;8;0;0
0;79512:047:0004;9;0;0.401
0;79512:047:0004;10;0;0
0;79512:047:0004;11;0;0
0;79512:047:0004;12;0;0
0;79512:047:0004;13;0;0
0;79512:047:0004;14;0;4.245
0;79512:047:0004;15;0;0
0;79512:047:0004;16;0;0
0;79512:047:0004;17;0;0
0;79512:047:0004;18;0;0
0;79512:047:0004;19;0;0
0;79512:047:0004;20;0;0
0;79512:047:0004;21;0;0
0;79512:047:0004;22;0;0
0;79512:047:0004;23;0;4.24
0;79504:076:0008;0;21.669;13.667
0;79504:076:0008;1;24.954;32.574
0;79504:076:0008;2;18.123;22.438
0;79504:076:0008;3;31.226;36.592
0;79504:076:0008;4;32.884;32.325
0;79504:076:0008;5;11.1;13.539
0;79504:076:0008;6;33.897;35.407
0;79504:076:0008;7;44.666;46.0
0;79504:076:0008;8;29.552;28.281
0;79504:076:0008;9;30.923;28.942
0;79504:076:0008;10;17.805;18.576
0;79504:076:0008;11;33.695;33.712
0;79504:076:0008;12;41.536;39.546
0;79504:076:0008;13;29.798;32.111
0;79504:076:0008;14;25.92;22.442
0;79504:076:0008;15;31.166;31.141
0;79504:076:0008;16;38.257;36.795
0;79504:076:0008;17;37.206;37.4
0;79504:076:0008;18;32.607;31.228
0;79504:076:0008;19;24.68;21.232
0;79504:076:0008;20;47.068;44.999
0;79504:076:0008;21;45.399;49.537
0;79504:076:0008;22;30.709;32.777
0;79504:076:0008;23;27.309;27.399
0;79513:011:0001;0;0;0
0;79513:011:0001;1;0;0
0;79513:011:0001;2;0;0
0;79513:011:0001;3;0;0
0;79513:011:0001;4;0;0
0;79513:011:0001;5;0;0
0;79513:011:0001;6;0;0
0;79513:011:0001;7;0;0
0;79513:011:0001;8;0;0
0;79513:011:0001;9;0;0
0;79513:011:0001;10;0;0
0;79513:011:0001;11;0;0
0;79513:011:0001;12;0;0
0;79513:011:0001;13;0;0
0;79513:011:0001;14;0;0
0;79513:011:0001;15;0;0
0;79513:011:0001;16;0;0
0;79513:011:0001;17;0;0
0;79513:011:0001;18;0;0
0;79513:011:0001;19;0;0
0;79513:011:0001;20;0;0
0;79513:011:0001;21;0;0
0;79513:011:0001;22;0;0
0;79513:011:0001;23;0;0
0;79507:015:0001;0;0;0
0;79507:015:0001;1;0;0
0;79507:015:0001;2;0;0
0;79507:015:0001;3;0;0
0;79507:015:0001;4;0;0
0;79507:015:0001;5;0;0
0;79507:015:0001;6;0;0
0;79507:015:0001;7;0;0
0;79507:015:0001;8;0;0
0;79507:015:0001;9;4.688;8.221
0;79507:015:0001;10;0;0
0;79507:015:0001;11;0;0
0;79507:015:0001;12;0;0
0;79507:015:0001;13;0;0
0;79507:015:0001;14;0;0
0;79507:015:0001;15;0;0
0;79507:015:0001;16;0;0
0;79507:015:0001;17;0;0
0;79507:015:0001;18;0;0
0;79507:015:0001;19;0;0
0;79507:015:0001;20;0;0
0;79507:015:0001;21;0;0
0;79507:015:0001;22;0;0
0;79507:015:0001;23;0;0
0;79501:034:0033;0;0;0
0;79501:034:0033;1;0;0
0;79501:034:0033;2;0;0
0;79501:034:0033;3;0;0
0;79501:034:0033;4;0;0
0;79501:034:0033;5;0;0
0;79501:034:0033;6;0;0
0;79501:034:0033;7;0;0
0;79501:034:0033;8;0;0
0;79501:034:0033;9;0;0
0;79501:034:0033;10;0;0
0;79501:034:0033;11;0;0
0;79501:034:0033;12;0;0
0;79501:034:0033;13;0;0
0;79501:034:0033;14;0;0
0;79501:034:0033;15;0;0
0;79501:034:0033;16;0;0
0;79501:034:0033;17;0;0
0;79501:034:0033;18;0;0
0;79501:034:0033;19;0;0
0;79501:034:0033;20;0;0
0;79501:034:0033;21;0;0
0;79501:034:0033;22;0;0
0;79501:034:0033;23;0;0
0;79510:029:0009;0;0;0
0;79510:029:0009;1;0;0
0;79510:029:0009;2;0;0
0;79510:029:0009;3;0;0
0;79510:029:0009;4;0;0
0;79510:029:0009;5;0;0
0;79510:029:0009;6;0;0
0;79510:029:0009;7;0;0
0;79510:029:0009;8;0;0
0;79510:029:0009;9;2.226;0
0;79510:029:0009;10;0;0
0;79510:029:0009;11;0;0
0;79510:029:0009;12;0.465;0
0;79510:029:0009;13;0;0
0;79510:029:0009;14;0;0
0;79510:029:0009;15;1.349;1.517
0;79510:029:0009;16;0;0
0;79510:029:0009;17;0;0
0;79510:029:0009;18;0;0
0;79510:029:0009;19;0;0
0;79510:029:0009;20;0;0
0;79510:029:0009;21;0;0
0;79510:029:0009;22;0;0
0;79510:029:0009;23;0;0
0;79504:067:0004;0;0;0
0;79504:067:0004;1;0;0
0;79504:067:0004;2;0;0
0;79504:067:0004;3;0;0
0;79504:067:0004;4;0;0
0;79504:067:0004;5;0;0
0;79504:067:0004;6;0;0
0;79504:067:0004;7;0;0
0;79504:067:0004;8;0;0
0;79504:067:0004;9;0;0
0;79504:067:0004;10;0;0
0;79504:067:0004;11;0;0
0;79504:067:0004;12;0;0
0;79504:067:0004;13;0;0
0;79504:067:0004;14;0;0
0;79504:067:0004;15;0;0
0;79504:067:0004;16;0;0
0;79504:067:0004;17;0;0
0;79504:067:0004;18;0;0
0;79504:067:0004;19;0;0
0;79504:067:0004;20;0;0
0;79504:067:0004;21;0;0
0;79504:067:0004;22;0;0
0;79504:067:0004;23;0;0
0;79502:020:0001;0;0;0
0;79502:020:0001;1;0;0
0;79502:020:0001;2;0;0
0;79502:020:0001;3;0;0
0;79502:020:0001;4;0;0
0;79502:020:0001;5;0;0
0;79502:020:0001;6;0;0
0;79502:020:0001;7;0;0
0;79502:020:0001;8;0;0
0;79502:020:0001;9;0;0
0;79502:020:0001;10;0;0
0;79502:020:0001;11;0;0
0;79502:020:0001;12;0;0
0;79502:020:0001;13;0;0
0;79502:020:0001;14;0;0
0;79502:020:0001;15;0;0
0;79502:020:0001;16;0;0
0;79502:020:0001;17;0;0
0;79502:020:0001;18;0;0
0;79502:020:0001;19;0;0
0;79502:020:0001;20;0;0
0;79502:020:0001;21;0;0
0;79502:020:0001;22;0;0
0;79502:020:0001;23;0;0
0;79514:037:0108;0;0.841;6.742
0;79514:037:0108;1;0;0
0;79514:037:0108;2;0;0
0;79514:037:0108;3;0;0
0;79514:037:0108;4;0;0
0;79514:037:0108;5;0;0
0;79514:037:0108;6;0;0
0;79514:037:0108;7;0;0
0;79514:037:0108;8;0;0
0;79514:037:0108;9;0;0
0;79514:037:0108;10;0;0
0;79514:037:0108;11;0;0
0;79514:037:0108;12;0;0
0;79514:037:0108;13;0;0
0;79514:037:0108;14;0;0
0;79514:037:0108;15;0;0
0;79514:037:0108;16;0;0
0;79514:037:0108;17;0;0
0;79514:037:0108;18;0;0
0;79514:037:0108;19;0;2.008
0;79514:037:0108;20;0;0
0;79514:037:0108;21;0;0
0;79514:037:0108;22;0;1.946
0;79514:037:0108;23;0;0
0;79501:028:0018;0;2.221;0.944
0;79501:028:0018;1;0;0
0;79501:028:0018;2;0;0
0;79501:028:0018;3;0;0
0;79501:028:0018;4;0;0
0;79501:028:0018;5;0;0
0;79501:028:0018;6;0;0
0;79501:028:0018;7;0;4.299
0;79501:028:0018;8;0;0
0;79501:028:0018;9;4.93;2.364
0;79501:028:0018;10;0;4.819
0;79501:028:0018;11;1.658;0.317
0;79501:028:0018;12;1.215;6.588
0;79501:028:0018;13;0;0
0;79501:028:0018;14;0;0
0;79501:028:0018;15;0.049;5.61
0;79501:028:0018;16;0;0
