;cadaster;hour;index;x;address;total_chargers;max_current;latitude;y;public_chargers;longitude;home_chargers;ev_charging;baseload;predicted_throttle;actual_throttle;predicted_ev_charging
43;79517:025:0023;1;110;6470809.18;18, Põhjatamme pst, Ihaste, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51011, Eesti;6.0;200;58.3475625;662517.6700000018;1.0;26.77592363542251;5.0;30.9;103.6094871430068;0;0;28.639388994009927
44;79301:001:0667;1;73;6470565.41;Ihaste sild, Idaringtee, Ropka tööstusrajoon, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51011, Eesti;1.0;200;58.34653220000001;661536.1700000018;0.0;26.760493586983472;1.0;0.0;35.215243159113435;0;0;27.358022642153973
45;79511:003:0022;1;134;6471601.920000003;2, Aardla, Ropka, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50107, Eesti;1.0;200;58.35560415000001;659795.2100000009;1.0;26.7306968603538;0.0;0.0;104.89420721277081;0;0;27.358022642153973
46;79517:053:0014;1;105;6472095.690000001;16, Pallase pst, Ihaste, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51011, Eesti;4.0;60;58.35912775;662802.049999997;2.0;26.7821625;2.0;0.0;40.458040087458656;0;0;27.358022642153973
47;79504:078:0015;1;45;6471234.3599999985;78, Ringtee, Tammelinn, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50415, Eesti;3.0;60;58.35244895;657403.6300000027;3.0;26.689441815415076;0.0;0.0;38.471706513089686;0;0;27.358022642153973
48;79517:065:0006;1;86;6471847.190000001;16, Hando Mugasto, Ihaste, Veibri küla, Luunja vald, Tartu maakond, 51011, Eesti;2.0;60;58.356512;663240.0099999979;0.0;26.78948536600059;2.0;16.5;40.465684058480676;0;0;28.639388994009927
49;79505:005:0079;1;94;6470844.170000003;8, Kristalli, Ränilinn, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50415, Eesti;1.0;160;58.3497624;657076.5600000024;1.0;26.68318381868545;0.0;0.0;127.28867643360985;0;0;27.358022642153973
50;79512:038:0010;1;137;6475427.440000001;66, Peetri, Raadi-Kruusamäe, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51009, Eesti;3.0;160;58.390288;659684.9200000018;0.0;26.73100433333333;3.0;0.0;103.17022270781544;0;0;27.358022642153973
51;79515:011:0052;1;187;6474582.010000003;3a, Ladva, Jaamamõisa, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50705, Eesti;17.0;100;58.3816824;661355.1000000015;7.0;26.75914779129724;10.0;83.20000000000002;153.27323445309725;3.175;8.028;28.639388994009927
52;79508:020:0022;1;154;6472056.1099999985;16, Teguri, Karlova, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50107, Eesti;3.0;160;58.36003050000001;659545.7299999967;0.0;26.726306756410256;3.0;13.8;34.670706164113795;0;0;28.639388994009927
53;79508:008:0004;1;172;6472732.8900000015;20, Vaba, Karlova, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50114, Eesti;7.0;60;58.36596;659527.4399999976;2.0;26.7264415;5.0;51.2;42.78787449746013;0;4.855;28.639388994009927
54;79501:034:0057;1;123;6474637.129999999;Betooni, Veeriku, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50408, Eesti;3.0;160;58.38386052408964;657302.5300000012;3.0;26.68983637343997;0.0;0.0;51.728898828604024;0;0;27.358022642153973
55;79512:047:0004;1;144;6476574.18;15, Kanarbiku, Raadi-Kruusamäe, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50304, Eesti;4.0;100;58.4006022;659106.950000003;1.0;26.722256130335477;3.0;49.5;55.83981699056695;0;1.335;28.639388994009927
56;79504:076:0008;1;52;6471610.57;4, Ööbiku, Tammelinn, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50404, Eesti;2.0;60;58.356141;658607.7299999967;0.0;26.70994265697673;2.0;23.7;101.4481698378578;24.124;32.574;28.639388994009927
57;79513:011:0001;1;157;6474986.620000001;1, Oa, Supilinn, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51700, Eesti;4.0;200;58.38628605;658991.6899999976;2.0;26.71906131566681;2.0;13.8;84.48956628569698;0;0;28.639388994009927
58;79507:015:0001;1;55;6474432.620000001;14, Küütri, Kesklinn, Tartu linn, Tartu, Tartu linn, Tartu maakond, 53007, Eesti;1.0;100;58.38132885;659233.6899999976;1.0;26.72267310648789;0.0;0.0;73.17673436711318;0;0;27.358022642153973
59;79501:034:0033;1;70;6474108.280000001;30/5, Vaksali, Tähtvere, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50409, Eesti;3.0;160;58.378901;657832.200000003;1.0;26.698747192571922;2.0;7.2;56.54885271724899;0;0;28.639388994009927
60;79510:029:0009;1;190;6470589.3500000015;37, Sepavälja, Ropka, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50112, Eesti;3.0;100;58.3469945;658967.8900000006;2.0;26.716482334301077;1.0;16.5;69.71810277838739;0;0;28.639388994009927
61;79504:067:0004;1;14;6471417.440000001;51, Aardla, Tammelinn, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50413, Eesti;5.0;160;58.35467795;658197.6499999985;1.0;26.703113399666638;4.0;23.7;42.0449515190708;0;0;28.639388994009927
62;79502:020:0001;1;4;6473499.420000003;4, Nisu, Veeriku, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50407, Eesti;8.0;160;58.373693;657223.3400000036;1.0;26.6877573630542;7.0;62.8;56.3920896551042;0;0;28.639388994009927
63;79514:037:0108;1;161;6476815.239999997;24, Pootsmani, Ülejõe, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51017, Eesti;4.0;100;58.40344705;657607.9299999997;0.0;26.69707559397219;4.0;16.5;41.11298022919757;0;0;28.639388994009927
64;79501:028:0018;1;5;6474221.57;35, Veski, Kesklinn, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51005, Eesti;5.0;160;58.379602500000004;658438.3500000015;2.0;26.70911565972222;3.0;30.3;86.5180470760861;0;0;28.639388994009927
65;79508:053:0001;1;173;6472878.949999997;88, Kalevi, Karlova, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51013, Eesti;8.0;100;58.36716300000001;659988.0399999991;2.0;26.73460772788389;6.0;13.8;100.79968038861948;0.099;1.825;28.639388994009927
66;79509:025:0008;1;106;6470771.329999997;15, Kopli, Variku, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50115, Eesti;2.0;100;58.348811;658583.3200000003;1.0;26.708916154605266;1.0;16.5;87.20365532275477;0;1.852;28.639388994009927
67;79504:044:0020;1;7;6472375.3599999985;15, Ränikivi, Tammelinn, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50403, Eesti;8.0;60;58.362870799999996;658641.3999999985;1.0;26.71139425386149;7.0;28.2;35.803199381961385;0;0.5;28.639388994009927
68;79504:058:0032;1;30;6471979.510000003;64d, Tamme pst, Tammelinn, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50405, Eesti;8.0;160;58.35974090000001;657934.0600000024;3.0;26.69869592000256;5.0;54.0;122.54532891414075;0;2.068;28.639388994009927
69;79301:001:0749;1;194;6475398.260000003;2a, Lubja, Ülejõe, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50303, Eesti;5.0;100;58.39019575;658858.0799999982;2.0;26.716788361804;3.0;55.0;121.41032991822443;4.943;15.282;28.639388994009927
70;79510:033:0012;1;103;6470566.420000003;59B, Jalaka, Ropka tööstusrajoon, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50109, Eesti;2.0;100;58.3466595;659376.7199999988;1.0;26.722654;1.0;0.0;92.2441090562725;0;0;27.358022642153973
71;79509:019:0001;1;186;6470545.1400000015;37, Voolu, Variku, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50115, Eesti;4.0;100;58.34661750000001;658217.0300000012;0.0;26.70265;4.0;6.6;54.965815591895506;0;0;28.639388994009927
72;79510:022:0016;1;80;6470989.73;12A, Sepa, Ropka, Tartu linn, Tartu, Tartu linn, Tartu maakond, 96187, Eesti;2.0;100;58.350471;659324.7100000009;0.0;26.722082899823164;2.0;23.1;121.47083698681084;12.376;22.285;28.639388994009927
73;79510:035:0012;1;29;6471417.25;8, Sirbi kaar, Ropka, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50112, Eesti;1.0;160;58.35404250000001;659540.1899999976;1.0;26.72585975;0.0;0.0;102.42047925571009;0;0;27.358022642153973
74;79301:001:0342;2;138;6474748.690000001;Juure, Jaamamõisa, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50705, Eesti;1.0;100;58.38325334486561;661646.7199999988;0.0;26.764144106876696;1.0;0.0;37.22698489655832;0;0;28.65150766945188
75;79502:019:0018;2;15;6473103.1499999985;33, Viljandi mnt, Maarjamõisa, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50412, Eesti;7.0;60;58.37012725;657342.6300000027;2.0;26.689522877738927;5.0;33.0;48.46668603368922;0;3.067;28.20919005056141
76;79512:032:0012;2;193;6475460.1400000015;68a/3, Puiestee, Raadi-Kruusamäe, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50303, Eesti;1.0;160;58.3904625;659468.4900000021;1.0;26.727509059117647;0.0;0.0;42.6598626441604;0;0;28.65150766945188
77;79514:014:0021;2;168;6474849.440000001;16a, Roosi, Ülejõe, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51009, Eesti;5.0;160;58.38504155;659676.1799999997;1.0;26.73064075000001;4.0;23.1;42.75523611509212;0;0;28.20919005056141
78;79507:022:0008;2;59;6474067.16;2, Juhan Liivi, Kesklinn, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51003, Eesti;5.0;160;58.378215;658809.6599999964;3.0;26.714904347516214;2.0;0.0;96.8304839322285;0;0;28.65150766945188
79;79509:013:0018;2;115;6470765.1000000015;21, Kopli, Variku, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50115, Eesti;1.0;60;58.348794999999996;658458.1000000015;1.0;26.707048799157306;0.0;0.0;31.146972791459604;0;0;28.65150766945188
80;79517:025:0023;2;110;6470809.18;18, Põhjatamme pst, Ihaste, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51011, Eesti;6.0;200;58.3475625;662517.6700000018;1.0;26.77592363542251;5.0;46.8;78.58414482580291;0;0;28.20919005056141
81;79301:001:0667;2;73;6470565.41;Ihaste sild, Idaringtee, Ropka tööstusrajoon, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51011, Eesti;1.0;200;58.34653220000001;661536.1700000018;0.0;26.760493586983472;1.0;0.0;30.613813527128443;0;0;28.65150766945188
82;79511:003:0022;2;134;6471601.920000003;2, Aardla, Ropka, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50107, Eesti;1.0;200;58.35560415000001;659795.2100000009;1.0;26.7306968603538;0.0;0.0;85.21866127904856;0;0;28.65150766945188
83;79517:053:0014;2;105;6472095.690000001;16, Pallase pst, Ihaste, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51011, Eesti;4.0;60;58.35912775;662802.049999997;2.0;26.7821625;2.0;38.5;41.27667494557689;0;4.944;28.20919005056141
84;79504:078:0015;2;45;6471234.3599999985;78, Ringtee, Tammelinn, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50415, Eesti;3.0;60;58.35244895;657403.6300000027;3.0;26.689441815415076;0.0;0.0;33.41899669957967;0;0;28.65150766945188
85;79517:065:0006;2;86;6471847.190000001;16, Hando Mugasto, Ihaste, Veibri küla, Luunja vald, Tartu maakond, 51011, Eesti;2.0;60;58.356512;663240.0099999979;0.0;26.78948536600059;2.0;16.5;25.716977662400193;0;0;28.20919005056141
86;79505:005:0079;2;94;6470844.170000003;8, Kristalli, Ränilinn, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50415, Eesti;1.0;160;58.3497624;657076.5600000024;1.0;26.68318381868545;0.0;0.0;116.84622557416841;0;0;28.65150766945188
87;79512:038:0010;2;137;6475427.440000001;66, Peetri, Raadi-Kruusamäe, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51009, Eesti;3.0;160;58.390288;659684.9200000018;0.0;26.73100433333333;3.0;6.6;93.12863809449344;0;0;28.20919005056141
88;79515:011:0052;2;187;6474582.010000003;3a, Ladva, Jaamamõisa, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50705, Eesti;17.0;100;58.3816824;661355.1000000015;7.0;26.75914779129724;10.0;49.5;106.40733085731979;0.59;3.289;28.20919005056141
89;79508:020:0022;2;154;6472056.1099999985;16, Teguri, Karlova, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50107, Eesti;3.0;160;58.36003050000001;659545.7299999967;0.0;26.726306756410256;3.0;6.6;34.50987420641127;0;0;28.20919005056141
90;79508:008:0004;2;172;6472732.8900000015;20, Vaba, Karlova, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50114, Eesti;7.0;60;58.36596;659527.4399999976;2.0;26.7264415;5.0;13.8;30.573574669290682;0;0;28.20919005056141
91;79501:034:0057;2;123;6474637.129999999;Betooni, Veeriku, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50408, Eesti;3.0;160;58.38386052408964;657302.5300000012;3.0;26.68983637343997;0.0;0.0;55.19474574926024;0;0;28.65150766945188
92;79512:047:0004;2;144;6476574.18;15, Kanarbiku, Raadi-Kruusamäe, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50304, Eesti;4.0;100;58.4006022;659106.950000003;1.0;26.722256130335477;3.0;49.5;56.269886377351504;0;1.442;28.20919005056141
93;79504:076:0008;2;52;6471610.57;4, Ööbiku, Tammelinn, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50404, Eesti;2.0;60;58.356141;658607.7299999967;0.0;26.70994265697673;2.0;16.5;88.37639121767168;16.374;22.438;28.20919005056141
94;79513:011:0001;2;157;6474986.620000001;1, Oa, Supilinn, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51700, Eesti;4.0;200;58.38628605;658991.6899999976;2.0;26.71906131566681;2.0;6.6;114.88534992787035;0;0;28.20919005056141
95;79507:015:0001;2;55;6474432.620000001;14, Küütri, Kesklinn, Tartu linn, Tartu, Tartu linn, Tartu maakond, 53007, Eesti;1.0;100;58.38132885;659233.6899999976;1.0;26.72267310648789;0.0;0.0;60.686526384950895;0;0;28.65150766945188
96;79501:034:0033;2;70;6474108.280000001;30/5, Vaksali, Tähtvere, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50409, Eesti;3.0;160;58.378901;657832.200000003;1.0;26.698747192571922;2.0;0.0;72.03476320927794;0;0;28.65150766945188
97;79510:029:0009;2;190;6470589.3500000015;37, Sepavälja, Ropka, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50112, Eesti;3.0;100;58.3469945;658967.8900000006;2.0;26.716482334301077;1.0;0.0;60.28421935096149;0;0;28.65150766945188
98;79504:067:0004;2;14;6471417.440000001;51, Aardla, Tammelinn, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50413, Eesti;5.0;160;58.35467795;658197.6499999985;1.0;26.703113399666638;4.0;30.9;28.290346887046862;0;0;28.20919005056141
99;79502:020:0001;2;4;6473499.420000003;4, Nisu, Veeriku, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50407, Eesti;8.0;160;58.373693;657223.3400000036;1.0;26.6877573630542;7.0;19.8;71.98458816512662;0;0;28.20919005056141
100;79514:037:0108;2;161;6476815.239999997;24, Pootsmani, Ülejõe, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51017, Eesti;4.0;100;58.40344705;657607.9299999997;0.0;26.69707559397219;4.0;23.7;61.96217624185042;0;0;28.20919005056141
101;79501:028:0018;2;5;6474221.57;35, Veski, Kesklinn, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51005, Eesti;5.0;160;58.379602500000004;658438.3500000015;2.0;26.70911565972222;3.0;23.1;120.02058199474476;0;0;28.20919005056141
