,address,cadaster,latitude,longitude,x,y
85,"6, Lepa, Annelinn, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50705, Eesti",79516:008:0015,58.379969499999994,26.75822293150549,6474374.440000001,661315.549999997
86,"70d/1, Anne, Annelinn, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50703, Eesti",79516:018:0153,58.37728825,26.760460268917534,6474071.129999999,661456.6899999976
87,"19, Mesika, Variku, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50110, Eesti",79509:023:0016,58.350026,26.70871068158784,6470941.57,658559.5399999991
88,"15, Meruski, Ülejõe, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51017, Eesti",79501:002:0215,58.40305550000001,26.69821645403377,6476787.440000001,657708.4200000018
89,"71a/1, Jaama, Ülejõe, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50604, Eesti",79514:020:0033,58.38331025,26.7405435,6474700.170000003,660268.1499999985
90,"15, Side, Karlova, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50111, Eesti",79508:015:0017,58.362228,26.723673586283184,6472328.07,659373.8999999985
91,"16/4, Rõõmu tee, Jaamamõisa, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50705, Eesti",79515:018:0007,58.3830078,26.765654847516714,6474715.27,661739.3200000003
92,"Tartu Lasteaed Rõõmupesa, 2, Akadeemia, Kesklinn, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51003, Eesti",79507:037:0006,58.37461879999999,26.721070049782764,6473646.699999998,659166.2599999979
93,"33, Kesakanni, Ihaste, Veibri küla, Luunja vald, Tartu maakond, 62220, Eesti",79517:044:0011,58.344119000000006,26.78398854915515,6470426.09,662992.5900000036
94,"13, Laulupeo pst, Tähtvere, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51006, Eesti",79501:029:0015,58.384991500000005,26.708626667544394,6474812.27,658409.5300000012
95,"9, Kuu, Karlova, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50114, Eesti",79508:008:0005,58.3663445,26.727534999999996,6472779.5,659577.4299999997
96,"Tervise, Maarjamõisa, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50411, Eesti",79503:001:0080,58.36398549708878,26.680755078832746,6472419.780000001,656857.9299999997
97,"5, Luige, Tammelinn, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50404, Eesti",79504:031:0018,58.3620855,26.70653288313817,6472257.949999998,658386.1899999976
98,"4, Astri, Veeriku, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50412, Eesti",79502:045:0006,58.3726495,26.694062994186048,6473405.43,657606.7700000033
99,"32a/2, Kruusamäe, Raadi-Kruusamäe, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50304, Eesti",79512:006:0023,58.3996375,26.71613021310115,6476448.8900000015,658758.8599999994
